id,name,formal_name
1,,
2,东华理工大学,东华理工大学
3,清华大学,清华大学
4,Gannon University,Gannon University
5,赣南师范大学,赣南师范大学
6,赣南医学院,赣南医学院
7,Institute of Network Technology (Signal Hill),Institute of Network Technology (Signal Hill)
8,共青科技职业学院,共青科技职业学院
9,华东交通大学,华东交通大学
10,江西财经大学,江西财经大学
11,江西电力职业技术学院,江西电力职业技术学院
12,江西服装学院,江西服装学院
13,江西工程学院,江西工程学院
14,江西工业工程职业技术学院,江西工业工程职业技术学院
15,江西警察学院,江西警察学院
16,jxjc,jxjc
17,The University of Sydney,The University of Sydney
18,江西科技师范大学,江西科技师范大学
19,江西科技学院,江西科技学院
20,江西理工大学南昌校区,江西理工大学南昌校区
21,江西理工大学,江西理工大学
22,AAA,AAA
23,江西农业大学,江西农业大学
24,江西农业大学南昌商学院,江西农业大学南昌商学院
25,江西软件职业技术大学,江西软件职业技术大学
26,Université d’Auvergne-Clermont-Ferrand 1,Université d’Auvergne-Clermont-Ferrand 1
27,江西师范大学,江西师范大学
28,江西现代职业技术学院,江西现代职业技术学院
29,江西新能源科技职业学院,江西新能源科技职业学院
30,江西应用科技学院,江西应用科技学院
31,江西中医药大学,江西中医药大学
32,井冈山大学,井冈山大学
33,九江学院,九江学院
34,Université Victor Segalen-Bordeaux 2,Université Victor Segalen-Bordeaux 2
35,中国人民解放军陆军步兵学院,中国人民解放军陆军步兵学院
36,陆军步兵学院,陆军步兵学院
37,1111,1111
38,南昌理工学院,南昌理工学院
39,江苏省洪泽中学,江苏省洪泽中学
40,陆院,陆院
41,南昌大学,南昌大学
42,南昌大学科学技术学院,南昌大学科学技术学院
43,南昌工程学院,南昌工程学院
44,ENITA Clermont-Ferrand:Ecole nationale dingénieurs des travaux agricoles de Clermont-Ferrand ,ENITA Clermont-Ferrand:Ecole nationale dingénieurs des travaux agricoles de Clermont-Ferrand 
45,南昌工学院,南昌工学院
46,南昌航空大学,南昌航空大学
47,FLS International (Pasadena),FLS International (Pasadena)
48,Université de Paris-Sud-Paris 11,Université de Paris-Sud-Paris 11
49,南昌航空大学科技学院,南昌航空大学科技学院
50,华东交通大学理工学院,华东交通大学理工学院
51,南昌交通学院,南昌交通学院
52,1123,1123
53,南昌师范学院,南昌师范学院
54,江西科技师范大学理工学院,江西科技师范大学理工学院
55,南昌应用技术师范学院,南昌应用技术师范学院
56,南昌职业大学,南昌职业大学
57,宜春学院,宜春学院
58,菜鸡,菜鸡
59,宜春职业技术学院,宜春职业技术学院
